Date, Close/Last, Volume, Open, High, Low
11/13/2020, 329.01, 1998446, 326.45, 329.73, 325.89
11/12/2020, 324.6, 2539783, 326.74, 327.44, 322.73
11/11/2020, 327.63, 2773482, 327.42, 328.5, 326.17
11/10/2020, 325.34, 4120821, 324.77, 326.3, 322.06
11/09/2020, 325.76, 8097281, 334.36, 335.2, 325.28
11/06/2020, 321.75, 3640619, 321.44, 322.92, 319.425
11/05/2020, 321.79, 3950281, 320.94, 323.55, 320.52
11/04/2020, 315.61, 5750173, 313.19, 319.65, 312
11/03/2020, 308.66, 3378343, 306.57, 310.74, 306.09
11/02/2020, 303.31, 4080396, 303.37, 305.31, 300.63
10/30/2020, 299.82, 5892432, 301.56, 302.86, 296.37
10/29/2020, 303.23, 5365171, 300.32, 306.25, 298.69
10/28/2020, 300.07, 5650454, 305.13, 305.74, 299.615
10/27/2020, 310.77, 2196107, 312.18, 312.47, 310.5583
10/26/2020, 311.8, 3335822, 314.31, 315.08, 308.36
10/23/2020, 317.65, 1429454, 317.84, 317.84, 315.24
10/22/2020, 316.57, 2362400, 315.06, 317.16, 312.99
10/21/2020, 314.84, 2607729, 315.41, 317.5224, 314.59
10/20/2020, 315.41, 3066561, 315.48, 318.67, 314.7792
10/19/2020, 314.17, 2229583, 320.3, 320.89, 313.33
10/16/2020, 318.99, 1669931, 320.65, 322.21, 318.9
10/15/2020, 319.26, 2487096, 315.71, 319.7, 315.2252
10/14/2020, 319.64, 1907791, 322.22, 323.3, 318.93
10/13/2020, 321.65, 2229739, 323.64, 323.73, 320.707
10/12/2020, 323.72, 2194283, 321.14, 325.222, 320.66
10/09/2020, 318.58, 2794077, 317.47, 319.0999, 316.85
10/08/2020, 315.77, 1731711, 314.96, 315.85, 314.05
10/07/2020, 313, 1707831, 310.607, 313.81, 310.6
10/06/2020, 307.72, 3389808, 312.25, 314.32, 307.1806
10/05/2020, 312.08, 2364454, 308.69, 312.29, 308.69
10/02/2020, 306.72, 3125089, 304.72, 308.58, 304.215
10/01/2020, 309.6, 3005650, 310.16, 311.11, 307.76
09/30/2020, 307.65, 4304504, 306.04, 310.7499, 305.85
09/29/2020, 305.3, 2307331, 306.84, 307.51, 304.65
09/28/2020, 308.36, 2437913, 307.42, 309.02, 306.43
09/25/2020, 303.28, 2683969, 297.575, 304.04, 296.72
09/24/2020, 298.5, 3130664, 296.31, 301.46, 295.04
09/23/2020, 297.68, 2755784, 305.28, 305.55, 297.17
09/22/2020, 304.74, 2741533, 303.11, 305.24, 300.67
09/21/2020, 301.69, 4536837, 300.47, 301.75, 296.83
09/18/2020, 305, 3421015, 309.44, 309.48, 302.55
09/17/2020, 308.59, 2848323, 306.48, 310.27, 305.96
09/16/2020, 311.31, 2316222, 313.81, 315.18, 311.04
09/15/2020, 312.57, 2570928, 313.47, 314.26, 311.52
09/14/2020, 310.97, 3056093, 310.08, 312.75, 309.61
09/11/2020, 306.98, 3690254, 308.55, 309.59, 304.17
09/10/2020, 306.75, 3588984, 314.05, 314.71, 305.82
09/09/2020, 312.21, 3339835, 310.145, 314.66, 309.29
09/08/2020, 306.17, 4278260, 309.35, 310.59, 305.85
09/04/2020, 314.82, 5133935, 317.77, 319.6, 306.9
09/03/2020, 317.36, 6891967, 327.01, 327.51, 314.81
09/02/2020, 328.74, 5273074, 325.94, 329.67, 324.78
09/01/2020, 324.02, 3010783, 321.81, 324.1, 320.94
08/31/2020, 321.02, 5067980, 321.98, 322.83, 320.8
08/28/2020, 322.15, 3538745, 321.14, 322.28, 319.95
08/27/2020, 320.07, 2295927, 320.22, 321.5031, 318.4695
08/26/2020, 319.43, 2605983, 316.75, 319.63, 316.25
08/25/2020, 316.2, 2890833, 315.69, 316.26, 314.5
08/24/2020, 315.1, 2349556, 314.355, 315.17, 313.37
08/21/2020, 311.93, 2316223, 310.48, 312.1, 310.17
08/20/2020, 310.82, 2409269, 308.11, 311.27, 308.02
08/19/2020, 309.84, 2498298, 311.55, 312.28, 309.31
08/18/2020, 311.16, 2415819, 310.93, 311.55, 309.28
08/17/2020, 310.51, 2183360, 310.44, 310.87, 310.09
08/14/2020, 309.51, 2098031, 309.15, 310.02, 308.34
08/13/2020, 309.51, 4074194, 309.3, 310.78, 308.56
08/12/2020, 310.04, 2953661, 308.25, 310.81, 308.2
08/11/2020, 305.85, 3571230, 309.52, 310.1156, 305.07
08/10/2020, 308.34, 2118154, 307.88, 308.5, 305.92
08/07/2020, 307.36, 3319618, 306.23, 307.6, 305.3216
08/06/2020, 307.2, 4088158, 304.58, 307.29, 304.25
08/05/2020, 305.15, 2620744, 304.61, 305.4, 304.31
08/04/2020, 303.26, 2129215, 301.22, 303.26, 301.22
08/03/2020, 301.99, 3769021, 301.65, 302.8222, 301.13
07/31/2020, 300.1, 4460643, 299.45, 300.1, 295.24
07/30/2020, 297.61, 2951740, 295.74, 298.06, 293.67
07/29/2020, 298.7, 2370847, 296, 299.26, 295.9
07/28/2020, 295.13, 3135561, 296.18, 297.33, 294.79
07/27/2020, 296.97, 2253331, 295.48, 297.12, 294.74
07/24/2020, 294.82, 2850971, 294.86, 295.81, 293.3
07/23/2020, 296.74, 3487108, 299.93, 300.62, 295.38
07/22/2020, 300.33, 4121139, 298.22, 300.56, 298.11
07/21/2020, 298.63, 3310876, 299.86, 300.35, 297.66
07/20/2020, 298.01, 2539891, 295.33, 298.68, 294.6
07/17/2020, 295.55, 2245953, 295.72, 296.35, 293.745
07/16/2020, 294.77, 3082869, 293.8, 295.11, 293.15
07/15/2020, 295.63, 6601428, 296.19, 296.7512, 293.35
07/14/2020, 293.03, 4053101, 287.79, 293.32, 286.63
07/13/2020, 289.16, 3657909, 294.1, 296.45, 288.61
07/10/2020, 291.8, 2712405, 288.72, 292.01, 287.34
07/09/2020, 288.9, 3164606, 291.02, 291.3, 285.41
07/08/2020, 290.38, 2434228, 289, 290.55, 287.29
07/07/2020, 288.24, 3420257, 289.67, 291.68, 287.8916
07/06/2020, 291.26, 3573810, 290.67, 291.58, 289.9
07/02/2020, 286.81, 3661062, 288.76, 290.05, 286.18
07/01/2020, 285.37, 3712553, 284.37, 286.51, 283.95
06/30/2020, 283.43, 5215693, 279.29, 284.95, 279.15
06/29/2020, 279.7, 3464598, 276.89, 279.72, 274.72
06/26/2020, 277.11, 4479022, 282.72, 282.92, 276.52
06/25/2020, 283.76, 3897429, 280.26, 284.1, 278.2201
06/24/2020, 280.79, 4532344, 286.08, 286.7, 278.97
06/23/2020, 288.16, 2503556, 289.51, 290.43, 287.7601
06/22/2020, 286.86, 2518008, 284.35, 287.1907, 283.26
06/19/2020, 284.97, 3479532, 290.04, 290.27, 283.67
06/18/2020, 286.66, 2756256, 284.97, 287.12, 284.545
06/17/2020, 286.4, 2662798, 288.73, 289.02, 285.88
06/16/2020, 287.72, 5294952, 290.05, 290.199, 282.83
06/15/2020, 282.2, 4431380, 273.91, 283.35, 272.77
06/12/2020, 279.65, 6232184, 283.35, 284.15, 274.5
06/11/2020, 276.32, 7748197, 286.36, 294.5, 275.8
06/10/2020, 293.22, 5602593, 295.53, 296.3934, 292.59
06/09/2020, 295.06, 4686385, 294.49, 296.387, 293.6301
06/08/2020, 297.17, 5559680, 294.43, 297.32, 293.88
06/05/2020, 293.61, 6015518, 291.63, 295.38, 291.61
06/04/2020, 286.29, 3818618, 286, 287.75, 284.2
06/03/2020, 287.02, 5568075, 285.2, 287.93, 284.93
06/02/2020, 283.28, 4343902, 281.79, 283.28, 280.46
06/01/2020, 280.97, 3907111, 279.07, 281.49, 278.57
05/29/2020, 279.75, 7051402, 278.03, 280.35, 275.36
05/28/2020, 278.5, 4634896, 280.03, 282.04, 277.81
05/27/2020, 279.05, 5152385, 277.78, 279.05, 272.86
05/26/2020, 275.04, 4911764, 277.53, 277.735, 274.55
05/22/2020, 271.55, 2296370, 270.76, 271.72, 269.5
05/21/2020, 270.94, 3581314, 272.8, 273.59, 269.95
05/20/2020, 272.9, 4896239, 271.92, 273.79, 271.69
05/19/2020, 268.52, 4921117, 270.61, 272.25, 268.34
05/18/2020, 271.08, 6769161, 269.32, 272.7, 269.06
05/15/2020, 263.04, 3386161, 259.54, 263.11, 258.56
